artists,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
my little airport,20GB,40,177411,0,0.658,0.318,9,-13.652,0,0.0511,0.806,8.76e-05,0.105,0.518,123.834,4,cantopop
my little airport,再殺一個人,40,212620,0,0.612,0.411,9,-12.834,1,0.0694,0.331,0.00338,0.335,0.588,155.956,4,cantopop
Shirley Kwan,忘記他,42,200826,0,0.574,0.55,0,-10.008,1,0.026,0.206,1.7e-06,0.35,0.509,99.997,4,cantopop
MC 張天賦,反對無效,60,228819,0,0.703,0.607,0,-7.823,1,0.0409,0.716,0.0,0.112,0.819,118.973,4,cantopop
Eason Chan,最佳損友,52,233560,0,0.605,0.542,4,-7.961,1,0.0339,0.81,7.92e-05,0.116,0.324,144.154,4,cantopop
my little airport,散步之年,40,198048,0,0.636,0.305,0,-15.369,1,0.0392,0.658,0.204,0.0967,0.41,114.967,4,cantopop
Eason Chan,愛情轉移(國),54,259986,0,0.479,0.481,5,-8.072,1,0.0309,0.709,0.0,0.48,0.357,105.255,4,cantopop
Jason Chan,你瞞我瞞,55,237733,0,0.65,0.425,9,-7.816,1,0.0266,0.834,0.0,0.12,0.403,75.988,4,cantopop
Eason Chan,淘汰,56,285000,0,0.512,0.551,9,-5.483,1,0.0295,0.192,0.0,0.302,0.206,117.978,4,cantopop
my little airport,回到中學的暑假,39,124539,0,0.749,0.43,7,-10.571,1,0.0295,0.552,0.0294,0.232,0.81,116.049,4,cantopop
Miriam Yeung,少女的祈禱,49,211106,0,0.574,0.427,4,-7.818,1,0.0483,0.553,0.0,0.101,0.197,121.597,4,cantopop
Faye Wong,夢中人,49,261933,0,0.628,0.764,4,-6.77,1,0.0286,0.00488,5.46e-05,0.332,0.163,129.258,4,cantopop
my little airport,失落沮喪歌,36,147057,0,0.64,0.835,2,-6.557,1,0.0259,0.00221,0.0403,0.0832,0.621,98.974,4,cantopop
my little airport,你叫我譯一首德國歌詞,38,201100,0,0.491,0.355,9,-14.066,1,0.0331,0.404,0.0426,0.388,0.43,134.0,4,cantopop
Yoyo Sham,追光者 (電視劇《夏至未至》插曲),57,235833,0,0.538,0.333,11,-9.166,1,0.0298,0.714,0.000766,0.146,0.275,72.063,1,cantopop
my little airport,浪漫九龍塘,38,126734,0,0.732,0.385,0,-10.193,1,0.0544,0.325,2.56e-05,0.0751,0.915,121.925,4,cantopop
MC 張天賦,記憶棉,62,273390,0,0.491,0.533,9,-7.594,1,0.0473,0.393,0.0,0.0944,0.214,149.856,4,cantopop
Faye Wong,掙脫,40,268200,0,0.676,0.666,4,-10.599,1,0.0393,0.00579,4.4e-05,0.736,0.295,129.01,4,cantopop
Karen Mok,慢慢喜歡你,58,221447,0,0.601,0.316,7,-9.55,1,0.0365,0.876,2.64e-05,0.365,0.375,130.118,4,cantopop
Miriam Yeung,可惜我是水瓶座,56,215333,0,0.537,0.385,3,-6.216,1,0.0391,0.841,0.0,0.0948,0.554,169.98,4,cantopop
Edmond Leung,七友,52,259013,0,0.513,0.558,10,-6.258,1,0.0554,0.875,0.0,0.087,0.482,200.9,3,cantopop
Faye Wong,紅豆,55,256026,0,0.554,0.408,0,-10.609,1,0.0317,0.27,6.53e-06,0.26,0.17,111.821,4,cantopop
Karen Mok,忽然之間,57,199249,0,0.73,0.335,2,-10.13,1,0.0405,0.674,0.0,0.177,0.332,138.075,4,cantopop
AGA,Wonderful U,51,248551,0,0.557,0.436,6,-8.569,1,0.0676,0.809,0.0,0.151,0.246,179.997,3,cantopop
Kay Tse,家明,38,268342,0,0.282,0.493,5,-7.413,1,0.0435,0.434,0.0,0.118,0.39,206.818,4,cantopop
Phil Lam,高山低谷,54,267346,0,0.603,0.405,0,-8.078,1,0.0351,0.724,0.0,0.103,0.353,143.986,4,cantopop
Shiga Lin,I'm Still Loving You,50,212601,0,0.398,0.4,11,-7.666,1,0.0328,0.452,0.0,0.125,0.322,134.435,4,cantopop
Denise Ho,木紋,47,330599,0,0.612,0.561,1,-7.119,1,0.0322,0.0641,0.0,0.278,0.479,128.948,4,cantopop
Jordan Chan,獨家記憶,58,307093,0,0.486,0.506,6,-7.967,1,0.0343,0.586,0.0,0.0841,0.485,79.914,4,cantopop
my little airport,燕,40,121196,0,0.498,0.186,9,-16.167,1,0.046,0.883,0.0124,0.116,0.201,111.394,4,cantopop
李龍基,稻草人,29,186960,0,0.328,0.451,1,-8.57,1,0.0352,0.296,0.000441,0.0822,0.686,173.513,4,cantopop
Roman Tam,親情 - 無線電視劇[親情]主題曲,28,187360,0,0.236,0.348,11,-11.744,0,0.032,0.435,1.42e-05,0.213,0.13,78.79,3,cantopop
HANA,"但願人長久 - 劇集 ""跳躍生命線"" 插曲",30,240547,0,0.397,0.136,11,-12.295,0,0.0413,0.854,0.0,0.107,0.232,183.357,4,cantopop
Vivian Chow,最愛,50,265533,0,0.585,0.353,0,-12.556,0,0.0299,0.738,0.000194,0.26,0.286,112.983,4,cantopop
Byejack;Slizznico,兩旬之歌,31,207461,0,0.754,0.377,3,-8.306,1,0.0327,0.531,0.0569,0.111,0.207,115.021,4,cantopop
Hins Cheung,俏郎君,57,280822,0,0.611,0.411,11,-7.278,1,0.036,0.633,0.0,0.116,0.391,123.728,4,cantopop
Ivana Wong,畫意,0,197826,0,0.621,0.359,11,-7.214,0,0.0411,0.793,0.0,0.135,0.548,110.499,4,cantopop
Terence Lam,記得,59,233367,0,0.405,0.128,5,-17.609,1,0.0332,0.942,0.000303,0.109,0.365,137.936,4,cantopop
Vivian Lai,多情,0,249000,0,0.617,0.517,10,-8.579,1,0.0358,0.765,0.0,0.133,0.369,128.207,4,cantopop
Khalil Fong,愛愛愛,53,215253,0,0.473,0.459,9,-7.348,1,0.0377,0.4,0.0,0.0862,0.346,66.37,4,cantopop
Faye Wong,匆匆那年,51,241000,0,0.547,0.343,10,-10.475,0,0.0301,0.954,0.00112,0.113,0.401,127.977,3,cantopop
Eason Chan,葡萄成熟時,48,277040,0,0.521,0.567,10,-5.97,1,0.0307,0.417,0.0,0.183,0.223,125.194,4,cantopop
my little airport,明天不要賴床 Baby,36,145568,0,0.676,0.515,5,-9.725,1,0.0442,0.374,3.38e-05,0.0904,0.656,122.014,4,cantopop
my little airport,今天沒大麻在身,37,145045,0,0.501,0.655,7,-8.164,1,0.0936,0.293,0.101,0.107,0.942,192.968,4,cantopop
my little airport,彌敦道的一晚good trip,37,177568,0,0.602,0.545,9,-13.846,1,0.0399,0.0814,0.0344,0.104,0.312,147.898,4,cantopop
Kary Ng,吳哥窟,49,223013,0,0.492,0.439,8,-6.862,1,0.0267,0.821,2.65e-06,0.118,0.388,147.92,4,cantopop
Mavis Hee,傾城,50,255266,0,0.647,0.262,7,-15.539,1,0.0456,0.706,0.0,0.129,0.151,126.117,4,cantopop
my little airport,年輕的茶餐廳老闆娘,36,181446,0,0.476,0.418,0,-11.178,1,0.0362,0.666,0.00023,0.137,0.581,155.994,4,cantopop
my little airport,今夜到干諾道中一起瞓,36,105810,0,0.739,0.552,2,-7.678,1,0.0371,0.698,0.0366,0.0718,0.84,140.042,4,cantopop
my little airport,五點鐘去天光墟,37,240091,0,0.435,0.506,9,-10.406,1,0.0444,0.809,0.0184,0.123,0.642,71.961,3,cantopop
JC 陳詠桐,說散就散,59,230571,0,0.507,0.627,2,-6.804,1,0.125,0.556,0.0,0.229,0.371,139.68,4,cantopop
my little airport,介乎法國與旺角的詩意,36,147214,0,0.482,0.421,7,-10.294,1,0.0526,0.171,0.0586,0.217,0.594,139.424,4,cantopop
Eason Chan,陀飛輪,39,279560,0,0.544,0.309,0,-8.7,1,0.0349,0.936,0.0,0.115,0.376,134.277,4,cantopop
my little airport,迷人的頸巾,36,139716,0,0.662,0.546,5,-7.984,1,0.0329,0.0994,0.0531,0.0895,0.906,114.007,4,cantopop
Priscilla Chan,千千闋歌,52,301000,0,0.637,0.556,4,-8.768,1,0.0386,0.295,2.1e-06,0.218,0.359,135.104,4,cantopop
Jacky Cheung,她來聽我的演唱會,53,292933,0,0.695,0.212,6,-14.412,1,0.0412,0.889,3.86e-05,0.65,0.328,124.072,4,cantopop
my little airport,以為和你熟,36,147486,0,0.657,0.196,8,-15.281,1,0.0441,0.737,0.329,0.0929,0.298,112.147,4,cantopop
my little airport,廣州足浴一夜,35,140293,0,0.632,0.354,5,-9.648,1,0.0285,0.726,0.0776,0.0871,0.323,113.068,4,cantopop
Eason Chan,浮誇,52,283520,0,0.405,0.562,4,-6.222,0,0.0373,0.229,0.0,0.122,0.243,201.02,3,cantopop
Denise Ho,勞斯.萊斯,42,270066,0,0.46,0.364,8,-7.953,1,0.0294,0.321,0.0,0.0983,0.367,131.992,4,cantopop
Fiona Sit,奇洛李維斯回信,47,242906,0,0.734,0.524,1,-8.971,1,0.028,0.551,3.28e-06,0.115,0.562,118.012,4,cantopop
my little airport,只因當時太緊張,36,155834,0,0.47,0.738,1,-6.569,1,0.032,0.00407,0.0,0.214,0.583,140.053,4,cantopop
my little airport,讓我搭一班會爆炸的飛機,37,141545,0,0.375,0.774,0,-6.534,1,0.0325,0.00145,0.0,0.0848,0.773,121.254,4,cantopop
Eason Chan,我們 - 《後來的我們》電影主題曲,57,260878,0,0.355,0.0962,9,-14.729,1,0.0395,0.956,1.76e-05,0.0866,0.201,144.58,4,cantopop
Beyond,情人,52,317000,0,0.543,0.445,0,-8.137,1,0.0277,0.375,1.3e-05,0.0586,0.152,143.998,4,cantopop
Serrini,樹木真美,53,246840,0,0.587,0.638,1,-4.205,1,0.0316,0.456,0.0,0.103,0.269,139.996,4,cantopop
Leo Ku,愛與誠,52,223907,0,0.727,0.408,8,-7.37,1,0.0348,0.863,0.0,0.121,0.509,133.868,4,cantopop
Eason Chan,苦瓜,49,278160,0,0.379,0.427,2,-9.284,1,0.048,0.646,0.0,0.109,0.459,185.952,4,cantopop
Kay Tse,"我可以被這個世界淘汰,但不可以被世界擊敗",36,160079,0,0.665,0.254,0,-12.221,1,0.0295,0.624,0.00223,0.177,0.401,115.006,4,cantopop
Beyond,喜歡妳,52,273786,0,0.511,0.757,0,-6.573,1,0.0299,0.713,0.156,0.278,0.33,153.066,4,cantopop
Hins Cheung,賽勒斯的愛,58,249343,0,0.497,0.426,3,-8.605,1,0.0318,0.552,0.0,0.254,0.335,139.577,4,cantopop
Faye Wong,曖昧,49,280666,0,0.294,0.467,0,-8.776,0,0.0328,0.312,0.0,0.431,0.322,207.724,4,cantopop
Miriam Yeung,勇,48,218213,0,0.58,0.544,7,-6.717,1,0.0304,0.39,0.0,0.0894,0.555,104.921,4,cantopop
Jacky Cheung,每天愛你多一些,56,279440,0,0.682,0.336,1,-12.049,1,0.0253,0.718,0.0,0.133,0.515,100.027,4,cantopop
Sita Chan,蜚蜚,53,216373,0,0.312,0.381,0,-8.935,0,0.0351,0.72,0.0,0.0854,0.189,145.653,4,cantopop
Eason Chan,任我行,47,278640,0,0.417,0.375,5,-11.861,1,0.0344,0.766,2.41e-05,0.133,0.464,130.416,4,cantopop
my little airport,QUEEN - Live,34,202556,0,0.484,0.457,7,-12.104,1,0.0348,0.446,0.00252,0.892,0.406,81.381,4,cantopop
Hins Cheung,只是太愛你,54,248800,0,0.549,0.393,10,-8.691,1,0.0366,0.589,0.0,0.136,0.352,129.521,4,cantopop
Beyond,真的愛妳,52,275280,0,0.526,0.715,0,-5.364,1,0.0333,0.448,0.0,0.109,0.652,154.083,4,cantopop
Jordan Chan,相依為命,55,235813,0,0.505,0.434,11,-8.439,1,0.0361,0.442,0.0,0.126,0.342,133.12,4,cantopop
Terence Lam,某種老朋友,57,270000,0,0.363,0.393,8,-12.848,0,0.0507,0.918,0.00641,0.113,0.407,143.865,4,cantopop
Hins Cheung,春秋,54,259826,0,0.38,0.502,7,-5.508,1,0.027,0.805,0.0,0.2,0.45,98.658,4,cantopop
Hacken Lee,月半小夜曲,53,290973,0,0.551,0.297,7,-14.998,0,0.0317,0.737,0.0,0.231,0.237,80.188,4,cantopop
George Lam,在水中央,27,224493,0,0.65,0.319,0,-15.446,0,0.0325,0.721,0.00155,0.115,0.53,79.822,4,cantopop
Khalil Fong,Nothing's gonna change my love for you,52,209440,0,0.631,0.514,0,-9.457,1,0.0307,0.374,6.14e-06,0.09,0.385,131.499,4,cantopop
Eason Chan,明年今日,54,206117,0,0.67,0.397,8,-10.87,1,0.0417,0.71,0.0,0.11,0.214,123.969,4,cantopop
HANA,"不相信別人 - 劇集 ""刑偵日記"" 片尾曲",27,230231,0,0.681,0.453,3,-6.875,0,0.0338,0.734,0.0,0.112,0.36,123.934,4,cantopop
彭家麗,"是不是這樣的夜晚, 你才會這樣的想起我",27,248400,0,0.544,0.424,7,-9.348,1,0.0445,0.553,0.0,0.127,0.171,67.09,4,cantopop
Christopher Wong;Vivian Chow,情未了,27,266493,0,0.652,0.318,10,-11.859,1,0.0296,0.508,5.42e-05,0.129,0.0823,134.012,4,cantopop
Eason Chan,K歌之王,51,222351,0,0.346,0.349,2,-9.428,1,0.0355,0.754,1.46e-06,0.381,0.271,78.634,4,cantopop
my little airport,火炭麗琪,36,129476,0,0.385,0.548,7,-7.208,1,0.0308,0.51,0.136,0.102,0.415,145.109,3,cantopop
Khalil Fong,三人遊,25,237426,0,0.478,0.389,0,-10.006,1,0.0493,0.704,0.0,0.232,0.446,128.202,4,cantopop
新青年理髮廳,一個人回家,39,283972,0,0.689,0.227,10,-10.294,1,0.0333,0.694,0.0,0.106,0.308,73.172,4,cantopop
Dear Jane,銀河修理員,46,232224,0,0.425,0.792,7,-5.252,1,0.0505,0.319,0.0,0.128,0.367,140.007,4,cantopop
Jacky Cheung,吻別,54,302093,0,0.555,0.375,6,-13.034,1,0.0378,0.611,6.78e-05,0.372,0.258,121.895,4,cantopop
Anthony Wong,親愛的瑪嘉烈,30,247906,0,0.444,0.651,10,-6.048,1,0.029,0.208,3.13e-06,0.117,0.381,171.9,4,cantopop
Cass Phang,漩渦,41,245906,0,0.721,0.519,8,-11.936,1,0.181,0.47,9.75e-05,0.385,0.419,122.926,4,cantopop
my little airport,下亞厘畢道,33,166884,0,0.793,0.318,7,-9.819,1,0.0768,0.575,0.000861,0.116,0.652,137.183,3,cantopop
my little airport,rm1210,35,122789,0,0.606,0.473,10,-10.077,1,0.0374,0.801,0.000839,0.0979,0.209,97.594,3,cantopop
Kaho Hung,還原淚,56,213969,0,0.427,0.444,1,-7.045,1,0.0287,0.685,0.0,0.112,0.595,150.256,4,cantopop
my little airport,牛頭角青年,33,159648,0,0.528,0.503,9,-9.457,1,0.0305,0.0332,0.111,0.105,0.469,129.079,4,cantopop
my little airport,今晚講嘢夜唔夜,35,161384,0,0.498,0.393,0,-10.855,1,0.0322,0.869,0.000614,0.151,0.561,140.95,4,cantopop
Faye Wong,執迷不悔,52,273840,0,0.624,0.422,10,-8.742,1,0.0321,0.588,0.0,0.131,0.134,139.865,4,cantopop
my little airport,我在暗中儲首期,34,142889,0,0.584,0.489,9,-10.64,1,0.0308,0.572,0.00141,0.196,0.755,115.859,3,cantopop
my little airport,給親戚看見我一個人食吉野家,34,155533,0,0.673,0.434,9,-11.008,0,0.0292,0.744,0.000111,0.125,0.858,94.544,4,cantopop
Serrini,油尖旺金毛玲,40,281265,0,0.472,0.524,8,-7.15,1,0.0267,0.565,0.00196,0.178,0.318,143.946,4,cantopop
my little airport,京都民宿夜,35,137351,0,0.576,0.527,0,-10.013,1,0.0293,0.565,0.000676,0.166,0.559,79.311,4,cantopop
Faye Wong,愛與痛的邊緣,53,273773,0,0.62,0.411,5,-11.425,0,0.0288,0.514,1.83e-06,0.199,0.534,113.29,4,cantopop
Denise Ho,癡情司,36,298080,0,0.27,0.241,8,-11.415,1,0.031,0.768,2.46e-06,0.0628,0.312,174.29,4,cantopop
Faye Wong,百年孤寂,46,317506,0,0.489,0.728,0,-5.509,1,0.0355,0.0148,0.0,0.113,0.289,149.911,4,cantopop
Denise Ho,明目張膽,43,275612,0,0.512,0.596,5,-6.019,1,0.038,0.56,0.0,0.124,0.272,147.107,4,cantopop
Dear Jane,銀河修理員,49,232224,0,0.425,0.792,7,-5.252,1,0.0505,0.319,0.0,0.128,0.367,140.007,4,cantopop
Hins Cheung,櫻花樹下,54,249986,0,0.415,0.498,9,-5.022,1,0.0278,0.659,0.0,0.197,0.3,143.68,4,cantopop
Wilfred Lau,思覺失調,56,205933,0,0.627,0.409,8,-7.355,1,0.0291,0.66,0.0,0.181,0.381,135.989,4,cantopop
Miriam Yeung,野孩子,50,221706,0,0.624,0.375,2,-8.522,1,0.0505,0.751,0.0,0.323,0.521,120.06,4,cantopop
my little airport,"Victor, Fly Me to Stafford",37,134414,0,0.622,0.524,9,-7.626,0,0.0282,0.693,0.00263,0.094,0.733,152.972,4,cantopop
Andy Lau,難免有錯,26,334853,0,0.529,0.409,9,-10.092,1,0.0296,0.696,1.73e-06,0.163,0.102,126.672,4,cantopop
林姍姍;David Ling Jr,把歌談心,27,343000,0,0.304,0.124,1,-17.6,0,0.0397,0.948,0.00104,0.143,0.0828,168.996,4,cantopop
Mr.,小傳奇,51,297213,0,0.19,0.658,6,-6.044,1,0.0376,0.387,3.65e-06,0.047,0.426,197.943,3,cantopop
Leo Ku;Edan 呂爵安,飄流教室,59,274716,0,0.527,0.418,7,-8.169,1,0.0296,0.882,0.0,0.0889,0.631,109.675,4,cantopop
my little airport,讓我搭一班會爆炸的飛機 - Live,34,169680,0,0.423,0.81,0,-8.393,1,0.0402,0.000535,0.000122,0.689,0.429,128.384,4,cantopop
Keeva Mak,好得很,49,244000,0,0.553,0.52,8,-7.261,1,0.0306,0.78,2.95e-06,0.131,0.523,114.059,4,cantopop
Joey Yung,心淡,53,248786,0,0.66,0.487,5,-6.757,1,0.0333,0.7,0.0,0.159,0.375,125.914,4,cantopop
Kay Tse,獨家村,41,260333,0,0.644,0.49,0,-7.269,1,0.0331,0.781,0.0,0.134,0.447,116.027,4,cantopop
C AllStar,留下來的人,53,244735,0,0.402,0.435,1,-8.005,1,0.0341,0.504,0.0,0.0866,0.35,157.204,4,cantopop
Faye Wong,約定,47,266200,0,0.557,0.324,4,-12.13,1,0.031,0.888,0.000264,0.612,0.161,80.015,4,cantopop
Leon Lai,但願不只是朋友,25,256839,0,0.65,0.594,0,-7.484,0,0.0256,0.0504,0.000162,0.188,0.486,122.164,4,cantopop
陳美玲,欲斷難斷,26,242613,0,0.788,0.578,0,-9.998,1,0.0303,0.334,3.09e-06,0.247,0.561,119.089,4,cantopop
Johnny Ip,戲劇人生,27,240426,0,0.562,0.381,9,-17.097,0,0.0478,0.514,6.27e-06,0.11,0.363,77.95,4,cantopop
Sandy Lam,至少還有你,57,274800,0,0.479,0.542,4,-5.588,1,0.0322,0.531,5.19e-06,0.137,0.347,124.692,4,cantopop
